"year","num_hurricanes","num_major_hurricanes","type","average"
1961,9,5,"avg_h_15year",6.06666666666667
1961,9,5,"avg_mh_15year",2.33333333333333
1962,4,0,"avg_h_15year",6.4
1962,4,0,"avg_mh_15year",2.33333333333333
1963,7,3,"avg_h_15year",6.26666666666667
1963,7,3,"avg_mh_15year",2.2
1964,7,5,"avg_h_15year",6.4
1964,7,5,"avg_mh_15year",2.2
1965,4,1,"avg_h_15year",6.33333333333333
1965,4,1,"avg_mh_15year",2.06666666666667
1966,7,3,"avg_h_15year",6.13333333333333
1966,7,3,"avg_mh_15year",1.93333333333333
1967,6,1,"avg_h_15year",5.93333333333333
1967,6,1,"avg_mh_15year",1.93333333333333
1968,5,0,"avg_h_15year",6.06666666666667
1968,5,0,"avg_mh_15year",2
1969,12,3,"avg_h_15year",5.86666666666667
1969,12,3,"avg_mh_15year",1.8
1970,7,2,"avg_h_15year",5.93333333333333
1970,7,2,"avg_mh_15year",1.86666666666667
1971,6,1,"avg_h_15year",5.8
1971,6,1,"avg_mh_15year",1.8
1972,3,0,"avg_h_15year",5.73333333333333
1972,3,0,"avg_mh_15year",1.6
1973,4,1,"avg_h_15year",6.06666666666667
1973,4,1,"avg_mh_15year",1.66666666666667
1974,4,2,"avg_h_15year",6.06666666666667
1974,4,2,"avg_mh_15year",1.66666666666667
1975,6,3,"avg_h_15year",5.8
1975,6,3,"avg_mh_15year",1.66666666666667
1976,6,2,"avg_h_15year",5.66666666666667
1976,6,2,"avg_mh_15year",1.73333333333333
1977,5,1,"avg_h_15year",5.2
1977,5,1,"avg_mh_15year",1.6
1978,5,2,"avg_h_15year",5.2
1978,5,2,"avg_mh_15year",1.66666666666667
1979,6,2,"avg_h_15year",5.06666666666667
1979,6,2,"avg_mh_15year",1.6
1980,9,2,"avg_h_15year",5.06666666666667
1980,9,2,"avg_mh_15year",1.66666666666667
1981,7,3,"avg_h_15year",5.2
1981,7,3,"avg_mh_15year",1.8
1982,2,1,"avg_h_15year",5.4
1982,2,1,"avg_mh_15year",1.8
1983,3,1,"avg_h_15year",5.53333333333333
1983,3,1,"avg_mh_15year",1.66666666666667
1984,5,1,"avg_h_15year",5.4
1984,5,1,"avg_mh_15year",1.66666666666667
1985,7,3,"avg_h_15year",5.33333333333333
1985,7,3,"avg_mh_15year",1.66666666666667
1986,4,0,"avg_h_15year",5.26666666666667
1986,4,0,"avg_mh_15year",1.6
1987,3,1,"avg_h_15year",5.06666666666667
1987,3,1,"avg_mh_15year",1.46666666666667
1988,6,3,"avg_h_15year",5.2
1988,6,3,"avg_mh_15year",1.66666666666667
1989,7,2,"avg_h_15year",5.33333333333333
1989,7,2,"avg_mh_15year",1.86666666666667
1990,8,1,"avg_h_15year",5.4
1990,8,1,"avg_mh_15year",1.86666666666667
1991,4,2,"avg_h_15year",5.86666666666667
1991,4,2,"avg_mh_15year",2
1992,4,1,"avg_h_15year",6.06666666666667
1992,4,1,"avg_mh_15year",2.26666666666667
1993,4,1,"avg_h_15year",6.13333333333333
1993,4,1,"avg_mh_15year",2.26666666666667
1994,3,0,"avg_h_15year",6.46666666666667
1994,3,0,"avg_mh_15year",2.53333333333333
1995,11,5,"avg_h_15year",6.53333333333333
1995,11,5,"avg_mh_15year",2.6
1996,9,6,"avg_h_15year",6.6
1996,9,6,"avg_mh_15year",2.6
1997,3,1,"avg_h_15year",6.73333333333333
1997,3,1,"avg_mh_15year",2.86666666666667
1998,10,3,"avg_h_15year",7.2
1998,10,3,"avg_mh_15year",3.26666666666667
1999,8,5,"avg_h_15year",7.26666666666667
1999,8,5,"avg_mh_15year",3.26666666666667
2000,8,3,"avg_h_15year",7.46666666666667
2000,8,3,"avg_mh_15year",3.33333333333333
2001,9,4,"avg_h_15year",7.8
2001,9,4,"avg_mh_15year",3.6
2002,4,2,"avg_h_15year",7.8
2002,4,2,"avg_mh_15year",3.73333333333333
2003,7,3,"avg_h_15year",7.86666666666667
2003,7,3,"avg_mh_15year",3.73333333333333
2004,9,6,"avg_h_15year",7.73333333333333
2004,9,6,"avg_mh_15year",3.6
2005,15,7,"avg_h_15year",8.2
2005,15,7,"avg_mh_15year",3.66666666666667
2006,5,2,"avg_h_15year",7.66666666666667
2006,5,2,"avg_mh_15year",3.46666666666667
2007,7,2,"avg_h_15year",7.53333333333333
2007,7,2,"avg_mh_15year",3.26666666666667
2008,9,5,"avg_h_15year",7.26666666666667
2008,9,5,"avg_mh_15year",3.2
2009,3,2,"avg_h_15year",7.13333333333333
2009,3,2,"avg_mh_15year",3.2
2010,12,5,"avg_h_15year",7.53333333333333
2010,12,5,"avg_mh_15year",3.46666666666667
2011,7,4,"avg_h_15year",7.6
2011,7,4,"avg_mh_15year",3.4
2012,10,2,"avg_h_15year",7.46666666666667
2012,10,2,"avg_mh_15year",3.2
2013,2,0,"avg_h_15year",7.4
2013,2,0,"avg_mh_15year",3.2
2014,6,2,"avg_h_15year",7.53333333333333
2014,6,2,"avg_mh_15year",3.33333333333333
2015,4,2,"avg_h_15year",NA
2015,4,2,"avg_mh_15year",NA
2016,7,4,"avg_h_15year",NA
2016,7,4,"avg_mh_15year",NA
2017,10,6,"avg_h_15year",NA
2017,10,6,"avg_mh_15year",NA
2018,8,2,"avg_h_15year",NA
2018,8,2,"avg_mh_15year",NA
2019,7,3,"avg_h_15year",NA
2019,7,3,"avg_mh_15year",NA
2020,14,7,"avg_h_15year",NA
2020,14,7,"avg_mh_15year",NA
2021,7,4,"avg_h_15year",NA
2021,7,4,"avg_mh_15year",NA
