RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1942.380278389713,1955.209803648123,1968.9064177657672,1982.0791382586158,1997.8759550126395,2016.9300314930977,2028.995122293129,2038.089696683338,2045.3126132276377,2049.5370845358775,2059.730352343097,2074.2603627312774,2094.874177129899,2104.911363581012,2118.108194493538,2127.5955331017476,2138.2539071628344,2148.127828015686,2154.800747179794,2164.844215451025,2161.776091594551,2169.0165914956046,2179.081089831633,2198.2789974382335,2214.3992295161875,2231.086352781121,2247.39428430151,2258.426296890474,2272.8778366320107,2280.29466405966,2291.1869921099924,2291.7421022581634,2293.529238232674,2293.104336333614,2299.721319341271,2311.021912405482,2325.298132495301,2337.683044422389,2351.188953515085,2367.2569365903787,2378.7484152436687,2392.8904778469227,2399.3488379365303,2406.4126282965435,2408.5839681133084,2413.7594973251034,2421.649236173797,2427.8420722671217,2435.6557677521255,2445.408125946103,2456.3066900155527,2469.7078282466928,2479.142202922297,2489.5237776347217,2493.1591048729697,2494.1550557230216,2494.0096570289006,2497.916880320778,2503.150008467695,2508.5486351901204,2510.0090430071577,2496.9972015809,2477.633167799259,2464.6186073024087,2464.777995345254,2463.005122637398,2459.135263885284,2458.0447893252513,2462.9212168203603,2459.053041907831,2453.0346234762605,2454.335451427392,2466.5539035391025,2487.173430345258,2512.4127252124235,2545.8897639239176,2586.4584543367228,2636.238920959288,2678.6857388178673,2710.5250482712618,2725.2595643115737,2742.9286069032983,2759.8138616043757,2786.936581829453,2814.73823626923,2849.8006540782117,2881.1664357310287,2903.8620696029025,2922.859504618526,2938.652765773235,2951.4784519301274
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1518.6160937459458,1533.8468320759025,1547.4327789839779,1577.475502463334,1585.6187407138136,1594.2756314302535,1590.6163449735736,1581.2574321120562,1567.73529553399,1563.9441465029802,1569.4570049238941,1580.9203402114704,1592.7712392507983,1605.3183566515565,1617.3004276278157,1627.6492646042661,1634.4733470433396,1635.7683850766703,1629.3587776217605,1614.2677039838868,1600.0668354821769,1593.1327832652219,1594.736796630027,1608.8108012322,1624.6563623182087,1644.2032553796494,1657.0651645545256,1668.0618252860163,1673.0380343454156,1669.9562592388443,1660.5501608691895,1648.0969463987362,1636.3169077346813,1632.3820844503239,1635.0164346484987,1645.6502557915833,1658.1582715200932,1671.1103770955287,1684.0493479535503,1695.5154833856316,1702.1032454584163,1700.8227431150194,1692.5676073838595,1678.719776932259,1668.7885189095234,1660.9975944256712,1667.2090382009912,1677.0799135457598,1693.723066951308,1709.8579088674194,1724.9035182052387,1737.5575971380506,1744.6573188261093,1746.4936935959436,1742.902692837315,1734.1023798234012,1720.9791528265878,1711.6347703117522,1715.3876547670418,1726.2807433568132,1741.8241461025002,1743.7790911157865,1744.92330149532,1739.5937713592814,1736.7817853758704,1725.2840539462277,1705.8068523946927,1679.0366825601188,1656.272215701716,1642.6662357418957,1639.769648740895,1644.7033165146809,1663.902223590935,1696.8059290361282,1735.803605940865,1768.8244734976065,1789.8604555555771,1806.125318253433,1811.3397347984144,1812.922978237595,1810.2597850123577,1816.315728592792,1830.7148727874874,1848.853625990142,1872.1714128540716,1894.1719770085128,1920.9768180256008,1941.1566212106788,1960.4022799056318,1967.004322480802,1967.3065474927544
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1256.7545424353782,1266.794648963289,1277.0102962931023,1285.8825478597416,1290.0705955737267,1291.8473594356701,1288.255702221248,1283.601546305285,1281.7285851923239,1283.2473886097039,1284.8244299246353,1288.2904900315118,1295.3622249825985,1298.6043170767741,1296.9855809104313,1294.3950080554898,1293.6763711611052,1291.5286044860836,1286.3598549419214,1283.7380858003928,1279.4143186618328,1275.6868332075799,1270.4742193060163,1273.2736308526935,1281.109701558179,1289.0681460145622,1296.6346197561763,1298.2383249978554,1298.907740317961,1297.607643212489,1299.5129209837667,1309.9687907124921,1320.280149635628,1328.5918260015114,1329.0483208405158,1330.306749790013,1334.0722091785299,1341.165995713581,1346.1097922606937,1350.6989406548448,1353.5279002097604,1353.4066650106315,1350.0494049159388,1347.9015892309753,1351.3605342471863,1349.7597028954356,1347.8416777006853,1344.0382543357641,1349.8811036412603,1354.5408369249078,1363.2676145937287,1369.8919531804167,1376.5144229201676,1377.4551631811555,1374.5480506300066,1372.6949647063307,1370.189225544847,1372.9630625592274,1373.7457760537443,1376.9274755440758,1380.6634029957386,1375.2498072677004,1366.9283710191123,1357.427802614827,1357.11049295612,1358.4968047048785,1359.2236914958623,1362.0317121021733,1366.717709693212,1368.8720932401154,1369.306473799216,1367.3058146202927,1372.3309657141297,1384.245914386469,1409.6758657826017,1440.070578498704,1470.356284189626,1496.3042388310319,1507.8160893441973,1517.6699785677242,1519.8780388896473,1530.6100245942807,1533.0307230671738,1541.4588578535968,1546.3545619714716,1557.2087645851855,1569.0598010804567,1583.7834607876125,1597.1238301237427,1606.0725383979213,1605.8874098700483
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,1020.6311172792336,1034.5960187154135,1038.8786547010557,1047.648569566829,1047.208477209154,1048.496765519597,1050.8104557424263,1053.852600236845,1056.7165374858062,1058.891947258416,1065.6738235846278,1072.0549117329274,1080.8977671178711,1089.3155154122962,1096.8638631757037,1102.8859268265874,1106.1718197869284,1108.517668427272,1108.6481256889876,1109.5958314294592,1110.8169940293042,1112.9926331686097,1116.6395871537543,1124.5823822881075,1134.3888849687899,1145.0444647249356,1153.7570465869028,1162.0726370225977,1168.6388951791284,1173.6110944638751,1175.7905760773776,1178.442318055933,1179.6056709396437,1180.3156456534323,1183.7138816929648,1187.7710944239975,1201.5427504728011,1215.7903860009467,1231.2091618451145,1239.5462043013465,1245.9964354785757,1253.4551384046492,1258.5463685529012,1264.8900049022538,1269.2028741578554,1275.7011726950293,1278.67845506643,1287.4870883182543,1298.5601268951661,1314.37044393929,1328.7291928022144,1341.4398375359476,1350.1046011146418,1356.8853928080212,1359.239647844703,1363.4198709822788,1366.326159356473,1378.1671727348912,1386.8068549394038,1399.9918675176216,1405.165489180682,1404.3167207189742,1399.61628450928,1400.137337174147,1413.0799231140777,1430.0323409296514,1447.6539762093778,1463.7344811313947,1479.9285123305817,1491.0086904309244,1504.2982482545835,1515.8322068922075,1541.7439623724895,1573.8202239548916,1623.0724352477448,1676.3531890724291,1736.5532327423732,1789.4616566291086,1829.922162903204,1856.8040539425774,1878.3779682150882,1891.5161517019317,1902.5882634430186,1907.6097204444043,1921.8199391580122,1933.8805055662374,1947.9020559308844,1955.1789493655876,1959.159373422107,1955.69148782752,1948.215463513174
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1884.9319815715448,1899.6138032009792,1902.4017315966728,1911.5594012902031,1919.731522706235,1934.5201887304142,1944.6852064657692,1947.695294350849,1953.2134986015913,1952.6307448189227,1961.3865065656698,1968.5634500920935,1986.1369667597462,2002.6020524216192,2016.8711840782387,2033.1335842597985,2040.1431072606558,2045.5428876570872,2046.8026090662188,2048.5547785498675,2050.932477519775,2047.9039743017456,2054.121849339525,2068.7856965513124,2090.4661150803604,2109.9316542012657,2129.292555202346,2143.816354262522,2158.5802146388496,2165.926946342391,2167.2029876317265,2169.0206348736324,2161.723066255559,2161.1497289286212,2167.0723800921846,2184.3496089769037,2201.6432186097686,2213.8904955379744,2233.3474013339924,2250.1334346421645,2265.139623179172,2273.5043888689115,2280.143982132226,2281.3777994547236,2278.537338092762,2273.7020745399645,2277.2707528948445,2280.491940991814,2291.6221915569304,2304.0599450851273,2318.251916520555,2327.8186260173416,2339.29763452635,2350.5786770626946,2358.462270047291,2361.983820753257,2359.498502268946,2360.0310009859377,2360.7763432809697,2367.133425824725,2372.563801708174,2362.6489751041745,2352.8403722240046,2354.3302976765563,2367.9270554922605,2381.929895164512,2392.6432403281115,2405.3594786989256,2423.2388497468082,2438.4925328554145,2447.9581121566457,2450.4311188607417,2464.5770811690836,2498.636110032507,2548.301970633932,2597.294755914901,2655.6506200232448,2717.1446334183747,2774.496253772465,2821.406319700146,2858.067080920084,2881.4817149193946,2884.473037766493,2903.621111865348,2945.5443974749796,3010.13612182492,3060.2089366200403,3105.3911733089762,3146.507636807705,3182.5684163065375,3191.4604398253314
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,2020.0319713214385,2033.8357772099862,2049.072321556723,2059.6047046143253,2068.7970063638863,2080.154139490846,2087.718260745065,2092.9303471055514,2096.7099946702974,2102.834759301405,2111.8508353628035,2118.5215392980494,2124.2544436256585,2127.290910824442,2138.59872109011,2155.9381726174465,2172.243392802382,2176.9302497689455,2181.0297514350523,2180.6293081302288,2186.1199873092605,2178.4601143013324,2182.0435418902202,2189.645099341772,2206.910591774791,2223.7263594892033,2235.832058189031,2248.33126323768,2258.5546459432785,2264.7531344122826,2266.5941728945327,2265.1366770061427,2263.842931232927,2264.246924537271,2269.9130507318987,2277.2240345435803,2284.9787730642483,2292.287300232039,2299.7016624544285,2309.2605916601483,2314.443753432377,2321.163590888415,2325.8628984457514,2332.0275321446934,2336.0405494365787,2338.3736459964875,2337.563952466011,2336.439956267502,2340.275403745119,2351.404192931618,2364.3514038037974,2378.358621224743,2388.664714213601,2396.8575672508578,2403.8441041653678,2403.6574834731155,2407.6709197392133,2410.9145212374383,2418.7438180145823,2423.865210403738,2428.5033545889014,2409.704188816044,2390.269999253911,2370.6809384740377,2378.295421034144,2387.158166946022,2403.4176036135614,2419.3109687167466,2430.6690752879363,2438.412907221559,2449.8560225126625,2468.539644905824,2498.9478758932296,2531.0870800242724,2567.5011049439468,2614.0421142741184,2686.0971125411093,2783.3895890482827,2865.977278625995,2918.302623133197,2952.2107903497567,2964.399101562371,2981.730662544304,2992.855624085473,3029.097302782491,3059.2160542253428,3091.126850691366,3115.7789681241447,3139.881923201335,3147.5613634552733,3141.3185051872597
2964,6,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1831.6317444321232,1837.5704364342205,1851.211364453979,1860.510434309156,1869.4222218322398,1872.3604813264421,1874.2306733788128,1885.7040587544384,1894.0539311518176,1903.5253808249192,1909.5065369150168,1918.0957292861092,1923.7979998735545,1920.1745786837566,1917.9224421239364,1915.1259961215762,1921.035804496975,1917.6730875835317,1914.3103742802714,1906.9298124662903,1905.399229384438,1902.1190834873662,1909.06901060354,1914.2148054621375,1925.6097217063652,1927.503999548953,1929.7352141681622,1931.200439883455,1934.0924885246395,1938.5552165513668,1939.63784621559,1943.8373732685413,1942.3071774774787,1944.5668193844651,1948.497596550034,1951.5685919130358,1957.3888936754036,1958.7374308250726,1965.8121896772454,1970.6305933020049,1973.67398120033,1979.3171008879146,1982.0823557253054,1991.0782513389865,1991.3269340195789,1996.6134162526469,1996.516173176889,2000.7200356932776,2006.5872565134168,2010.9109366962239,2014.0388577672984,2014.931634464198,2012.6441518628692,2018.617278759356,2018.1136094662056,2027.7882002522385,2034.3188772499611,2045.817185477028,2054.5596070735555,2057.6950313042157,2058.230037085962,2050.567666636243,2040.8390244771422,2030.289759295046,2032.2343120982068,2034.5499228442163,2034.2499633821194,2030.7224279007444,2037.0793348427978,2052.0882283947435,2077.966426720732,2109.5798774233476,2156.293532073572,2210.483578504102,2265.4271028290373,,,2485.1026064850594,2552.3553677761593,2610.1213571493536,2657.818825096893,2723.524659061067,2775.181145357232,2858.33789517213,2926.2121196673793,3012.5043615064724,3071.703923680771,3108.157449424787,3127.0691160613815,3125.0565498279248,3144.281900003731
978,7,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1190.936975700996,1201.52197642766,1214.6065109348049,1222.8712535122445,1232.2484188648946,1238.1455170684378,1232.9418088305454,1229.1080168612636,1228.6912026087336,1232.3057722622757,1239.0544677582436,1241.3136290390073,1260.6544460997754,1271.5696529192269,1287.143384440921,1294.0736808772936,1301.3915324872758,1304.658427271492,1298.9218280750536,1297.6017663419805,1303.0439051555009,1310.3415854252319,1313.6576165238052,1314.2361658200148,1323.5787285879435,1332.1853766574588,1343.8756694086471,1350.1069870451845,1358.8286452280404,1363.2521436363663,1362.575110682678,1362.6092349472108,1360.3381459508525,1362.2061370858414,1363.9817148589702,1371.8105820365556,1377.10774565036,1383.2166288674396,1381.776789411679,1387.9156145519405,1393.6559118068196,1405.50661695283,1405.4202705013033,1407.0606289447435,1409.4870282708969,1411.9031373596663,1413.316942703064,1415.4702420858703,1421.2315180205003,1429.7100812820631,1436.077158962486,1450.9099214579596,1458.5044938219517,1460.148273407425,1459.2724000050785,1457.4103941565681,1455.7479989450114,1450.2534332315913,1449.7550667802266,1454.1100176069028,1460.4780178797303,1458.5769300199318,1453.3849153260617,1448.3217223434665,1447.7340586556536,1446.790012687289,1444.6527825400924,1448.6118692637178,1453.436989586994,1459.9686715126693,1461.6350445514004,1471.4451550946462,1483.6930535647114,1507.158553940934,1534.9911385892967,1574.5894462276665,1615.2712378716901,1653.2840294499756,1678.963342440239,1690.338153145593,1700.8766564534117,1707.1661790529677,1721.622520298554,1737.8548039882876,1751.0916986952511,1773.1535851620126,1800.2903517108691,1842.4361620197499,1873.897310864377,1885.2657475191443,1883.4687644174728
581,8,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2453.78123937771,2470.4187741310993,2493.952263893073,2520.978983074403,2539.4848442912694,2555.5280481528002,2571.224107568335,2587.0931635556058,2584.4405798556777,2573.323048132703,2558.925182682538,2551.589732810006,2553.500367143739,2556.597947930413,2566.3272907145206,2584.0593778002317,2602.3984031518125,2621.417233572019,2628.4658502827106,2626.5494261807653,2624.9220297514703,2606.861096021746,2603.54890269518,2589.4698662872224,2598.4253753383,2604.7508044363485,2621.672898019522,2633.074319647291,2650.2996282936674,2662.2996182904217,2666.0762102675385,2652.7942509060285,2637.0888756512795,2624.8710989206975,2622.963410099732,2620.1588479690668,2632.5830133292015,2645.667078729912,2669.191532109194,2680.6078245750173,2692.73294605359,2701.1375986337625,2705.6128309938995,2699.614377923889,2686.07803661359,2667.41977012767,2660.4907580807503,2670.649743071815,2695.6229107291297,2717.4285873452627,2742.2380108052776,2758.4853261575895,2783.1566461460707,2798.032736075562,2812.5480119787317,2812.228172139181,2792.7630079345727,2783.2830556532176,2781.9048946305074,2802.2282986655973,2822.078739287012,2824.373661295969,2809.7891733731853,2778.6689915472743,2749.517043177487,2711.294597762821,2663.589216818547,2615.954515620031,2583.059097962032,2559.3716416980456,2550.7682942611777,2550.3548785521953,2572.81138849508,2605.7429152577056,2647.10475426858,2691.153922861027,2746.6110992748822,2801.9479798751827,2854.431294183844,2879.0517430267523,2894.194862286492,2899.1538184287288,2925.1176148989866,2968.601754684747,3023.7211549803214,3081.843716816145,3153.0000822804313,3230.5575348948914,3301.193314040369,3338.2531038765187,3340.6756516306486
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1496.2460258643075,1506.6336694480135,1510.5688111676839,1516.3625437590945,1521.8091949861134,1529.6526181506465,1538.3846205723255,1544.746668701906,1551.9308595872267,1553.7625920249243,1554.2166563885282,1562.4887256861052,1559.7179872231595,1562.9162760819856,1562.4436606744569,1581.2168557079597,1595.078235555536,1599.1013864634824,1607.4322451606376,1608.0273007552144,1624.119620184359,1620.7893419566842,1639.3336764526239,1642.011081853073,1659.560258681468,1668.9056237684333,1684.001940042711,1694.641554598848,1698.9431557424462,1708.4266208842962,1714.8672758616904,1725.3073189766512,1730.474716464445,1730.2762575336383,1737.3078554670114,1745.9720790941237,1760.5525434428732,1767.872958625332,1769.6446317244568,1779.05559203814,1787.2172278186754,1801.3119553686056,1814.1468365307421,1827.9104537934797,1832.9935594908259,1840.6779579553631,1838.4777968681888,1843.9441779225062,1846.319838594363,1856.43230488863,1865.4700211370978,1868.9427874467035,1877.9411069060711,1891.2009622714781,1901.8538397030868,1910.4729421755105,1914.1147624930802,1919.590786289212,1921.7426308853899,1928.8842484710747,1931.6366112322355,1924.6451795988212,1914.2622475630226,1915.7162653531861,1935.2266923077814,1967.9097555760195,2006.4819456439525,2049.2714291527473,2081.245000010726,2100.7777421167843,2109.2460251991215,2132.7786717674944,2170.989299661218,2216.514823516378,2247.094940113521,2284.3907140402516,2335.9844327458677,2403.264939531881,2466.277182823434,2495.790328494523,2520.3638877484495,2509.6477545271814,2539.6839423522338,2553.6560057909705,2604.3502871061323,2623.0626326699794,2641.307131566578,2649.3818544961186,2664.5114728564463,2674.604018085752,2682.0359439381996
