"id","yearBuilt","City","latitude","longitude","zipcode","bathrooms","bedrooms","DateListed","DateSold","daysOnZillow","homeType","lastSoldPrice","livingArea","lotSize","price","priceHistory.1.price","propertyTaxRate","hasCooling","hasFireplace","hasGarage","hasHeating","hasView","schools0distance","schools0level","schools0rating","schools1distance","schools1level","schools1rating","schools2distance","school2level","schools2rating","price_category"
20565,1996,"Sherwood",45.3477,-122.8408,"97140",3,4,"8/5/2019","7/8/2020",338,"SINGLE_FAMILY",530000,2108,9147,530000,519500,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.2,"Elementary","7",0.7,"Middle","8",0.9,"High","9","below"
20567,1999,"Sherwood",45.35322,-122.8558,"97140",3,4,"8/9/2019","7/10/2020",336,"SINGLE_FAMILY",685000,2984,7840,685000,675000,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,0.9,"Elementary","9",1,"Middle","8",0.4,"High","9","above"
20571,1993,"Sherwood",45.37118,-122.8526,"97140",3,3,"8/9/2019","7/10/2020",336,"SINGLE_FAMILY",430000,1676,6098,430000,410000,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,0.8,"Elementary","8",0.8,"Middle","10",0.9,"High","9","below"
20572,2001,"Sherwood",45.34625,-122.8598,"97140",3,4,"8/15/2019","7/13/2020",333,"SINGLE_FAMILY",581000,2401,6534,581000,575000,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,0.6,"Elementary","9",1.2,"Middle","10",0.9,"High","9","above"
20574,2013,"Sherwood",45.36622,-122.8613,"97140",3,4,"8/19/2019","7/15/2020",331,"SINGLE_FAMILY",682000,3044,6098,682000,699000,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.2,"Elementary","8",0.2,"Middle","10",0.9,"High","9","above"
20575,2014,"Sherwood",45.35606,-122.8436,"97140",3,3,"8/19/2019","7/15/2020",331,"SINGLE_FAMILY",650000,2673,4791,650000,625000,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.3,"Primary","7",0.2,"Middle","8",0.5,"High","9","above"
20577,2006,"Tualatin",45.35413,-122.7933,"97062",3,4,"12/21/2019","9/15/2020",269,"SINGLE_FAMILY",575000,2812,6969,575000,575000,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,1.6,"Elementary","4",2.4,"Middle","5",1.4,"High","8","above"
20578,1997,"Sherwood",45.3546,-122.8617,"97140",3,5,"8/23/2019","7/17/2020",329,"SINGLE_FAMILY",554000,2213,6534,554000,539000,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.6,"Elementary","9",1.3,"Middle","8",0.7,"High","9","above"
20579,1977,"Sherwood",45.30123,-122.8405,"97140",5,5,"8/23/2019","7/17/2020",329,"SINGLE_FAMILY",1400000,5647,217800,1400000,1350000,1.08,TRUE,TRUE,FALSE,TRUE,TRUE,3.1,"Elementary","7",3.6,"Middle","8",3.6,"High","9","above"
20580,2000,"Sherwood",45.34684,-122.8586,"97140",3,4,"8/23/2019","7/17/2020",329,"SINGLE_FAMILY",532000,1976,6534,532000,529000,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,0.7,"Elementary","9",1.2,"Middle","10",0.8,"High","9","below"
